1-1,ENLATADOS CONSERVAS Y ESPECIAS,1
1-2,"ADEREZ, CHILES Y SALSAS",1
1-3,DULCES,1
1-4,AZUCAR Y ENDULZANTES,1
1-5,CEREALES GALLETAS BARRAS Y PROD DE MAIZ,1
1-6,"ARROZ, FRIJOLES, SEMILLAS Y PASTAS",1
1-7,LACTEOS Y HUEVO,1
1-8,ALIMENTOS CONGELADOS,1
1-9,POSTRES,1
2-1,RES,2
2-2,CERDO,2
2-3,POLLO,2
2-4,PESCADO,2
2-5,MARISCOS,2
2-6,AVES,2
2-7,CARNES FRIAS Y SALCHICHONERIA,2
2-8,CARNES VARIAS,2
3-1,FRUTAS,3
3-2,VERDURAS,3
4-1,DERIVADOS DE VACA,4
4-2,DERIVADOS DE SOYA,4
5-1,JUGOS,5
5-2,REFRESCOS,5
5-3,VINOC,5
5-4,LICORES,5
5-5,VARIOS,5
6-1,PAN BLANCO,6
6-2,PAN DULCE,6
6-3,GALLETAS,6
6-4,PAN DE CAJA,6
